language,freq2021,freq2022,freq2023,freq2024
TypeScript,0.15795724465558195,0.20521172638436483,0.22857142857142856,0.23968784838350055
JavaScript,0.2850356294536817,0.249728555917481,0.18928571428571428,0.1850613154960981
C#,0.17458432304038005,0.1487513572204126,0.17023809523809524,0.12486064659977704
Python,0.05463182897862233,0.07709011943539631,0.08452380952380953,0.10256410256410256
Dart,0.09619952494061758,0.09446254071661238,0.1,0.09141583054626533
Java,0.0510688836104513,0.08360477741585233,0.07857142857142857,0.07246376811594203
Kotlin,0.032066508313539195,0.02062975027144408,0.030952380952380953,0.042363433667781496
PHP,0.039192399049881234,0.033659066232356136,0.034523809523809526,0.03455964325529543
DB,0.007125890736342043,0.014115092290988056,0.013095238095238096,0.027870680044593088
C++,0.032066508313539195,0.014115092290988056,0.016666666666666666,0.01560758082497213
