language,freq2021,freq2022,freq2023,freq2024
TypeScript,0.32608695652173914,0.40272614622057,0.47919655667144906,0.5678571428571428
JavaScript,0.6455314009661836,0.5687732342007435,0.48206599713055953,0.4142857142857143
Dart,0.0024154589371980675,0.0055762081784386614,0.00430416068866571,0.0035714285714285713
C++,0.004830917874396135,0.0030978934324659233,0.003586800573888092,0.0035714285714285713
C#,0.00966183574879227,0.007434944237918215,0.00860832137733142,0.0017857142857142857
PHP,0.004830917874396135,0.0024783147459727386,0.005021520803443328,0.0017857142857142857
Java,0.0006038647342995169,0.0018587360594795538,0.002152080344332855,0.0017857142857142857
Python,0.0006038647342995169,0.0006195786864931846,0.0014347202295552368,0.0008928571428571428
Kotlin,0.0006038647342995169,0.0,0.002152080344332855,0.0008928571428571428
Clojure,0.0006038647342995169,0.0,0.0,0.0008928571428571428
Lua,0.0,0.0,0.0007173601147776184,0.0008928571428571428
CSS,0.0,0.0,0.0,0.0008928571428571428
Ніякої,0.0,0.0,0.0,0.0008928571428571428
Swift,0.0006038647342995169,0.0037174721189591076,0.005021520803443328,0.0
DB,0.0012077294685990338,0.0012391573729863693,0.0007173601147776184,0.0
