language,freq2022,freq2023,freq2024
Python,0.16712611991729842,0.21767159651118695,0.2242152466367713
Go,0.17470709855272226,0.1751990898748578,0.22017937219730943
Rust,0.12611991729841487,0.09973454683352294,0.10807174887892376
TypeScript,0.1016540317022743,0.0925293894577171,0.08430493273542601
JavaScript,0.10751206064782909,0.08646188850967008,0.06905829596412556
Java,0.04996554100620262,0.03450891164201744,0.04439461883408072
C++,0.033425223983459686,0.03981797497155859,0.036771300448430494
C#,0.04066161268090972,0.037163443306788016,0.03452914798206278
Swift,0.04135079255685734,0.04209328782707622,0.02914798206278027
Kotlin,0.02997932460372157,0.030337504740235114,0.02780269058295964
