language,freq2021,freq2022,freq2023,freq2024
TypeScript,0.12359718689211432,0.1641350833210441,0.18647905547468865,0.2143859649122807
JavaScript,0.22878946580876852,0.23211915646659784,0.19019893255701115,0.16333333333333333
Python,0.09786024240610504,0.11016074325320749,0.12841662623322012,0.15
Java,0.1569654346850217,0.15808877746645036,0.14911855086527576,0.13807017543859648
C#,0.1548705671105791,0.13862262203214865,0.13294517224648228,0.12666666666666668
PHP,0.1324255573844082,0.08966229169738976,0.09024745269286755,0.08666666666666667
DB,0.010923238066736495,0.018286388438283438,0.020054989487303897,0.024912280701754386
Go,0.024240610504264553,0.020645922430320013,0.023289665211062592,0.024210526315789474
Ruby,0.026335478078707168,0.02241557292434744,0.024745269286754003,0.018771929824561405
Kotlin,0.005237168936106539,0.0073735437251142896,0.006307617661329452,0.0077192982456140355
C++,0.005536435732455484,0.005014009733077717,0.005660682516577713,0.0061403508771929825
Scala,0.00942690408499177,0.007668485474118861,0.005337214944201844,0.0059649122807017545
Dart,0.0031423013616639233,0.0044241262350685736,0.0045285460132621705,0.004736842105263158
Apex,0.00703276971420021,0.0075210145996165755,0.006469351447517387,0.004561403508771929
Groovy,0.0026934011671405056,0.0032443592390502874,0.0021025392204431508,0.004210526315789474
