"","JavaScript","Java","C#","Python","PHP","TypeScript","C++","Swift","Ruby","Kotlin","Go","Scala","C","1C","T-SQL","Dart","PL-SQL","Pascal/Delphi","R","Apex"
"2012-05",0.0372093023255814,0.262579281183932,0.213107822410148,0.0634249471458774,0.145454545454545,0,0.104862579281184,0,0.0384778012684989,0,0,0.00422832980972516,0.0202959830866808,0.0101479915433404,0,0,0.0101479915433404,0.0147991543340381,0,0
"2013-01",0.054757015742642,0.246064339493498,0.214236824093087,0.066735112936345,0.152977412731006,0,0.0865845311430527,0,0.0314852840520192,0,0,0.00684462696783025,0.0188227241615332,0.014715947980835,0.00205338809034908,0,0.014031485284052,0.0130047912388775,0,0
"2014-01",0.0751300327489886,0.24985551916779,0.18705451743402,0.0622230784049316,0.142554421113466,0,0.0890001926411096,0,0.0375650163744943,0,0.000577923328838374,0.00905413215180119,0.0163744943170873,0.00866884993257561,0.00693507994606049,0,0.0152186476594105,0.0134848776728954,0,0
"2015-01",0.110554628083843,0.251530328324986,0.167130402522723,0.0704878501205713,0.143943609719904,0,0.0691893897236134,0.0029679094787609,0.0434056761268781,0,0.00204043776664812,0.00908922277870525,0.0146540530513819,0.0109441662029308,0.00575032461509924,0,0.0135410869968466,0.00946021146355036,0.00204043776664812,0.000927471712112781
"2016-01",0.138792631770928,0.262447565201532,0.154295093926682,0.0797008936713478,0.131679737370053,0,0.0643808134233084,0.00875433157030822,0.0357468539120919,0,0.00255334670800657,0.010395768739741,0.0131314973554623,0.0124019697246033,0.00729527630859019,0,0.00984862301659675,0.00948385920116725,0.00291811052343608,0.00109429144628853
"2017-01",0.162049008742766,0.232976234453885,0.148996429011206,0.0869351065139761,0.132126585395887,0.00197020071419776,0.0547962073636252,0.0222878955793621,0.0353404753109223,0.0018470631695604,0.00812707794606576,0.0151459179903953,0.0110823790173624,0.0126831670976481,0.00837335303534048,0,0.0104666912941756,0.00812707794606576,0.0043098140623076,0.000861962812461519
"2018-01",0.165268941584731,0.206622325043378,0.140977443609023,0.0975997686524002,0.130422209369578,0.0200983227299017,0.0495951417004049,0.0339791787160208,0.0296414112203586,0.0092539039907461,0.0202429149797571,0.0154713707345286,0.0138808559861191,0.0112781954887218,0.00795257374204743,0,0.00838635049161365,0.00578368999421631,0.00289184499710815,0.0018796992481203
"2019-01",0.176891006551519,0.178320428826683,0.13972602739726,0.108874329958309,0.119475878499107,0.0291840381179273,0.0653960690887433,0.0289458010720667,0.0287075640262061,0.0238237045860631,0.0182251340083383,0.015485407980941,0.0156045265038714,0.00905300774270399,0.00631328171530673,0.000714711137581894,0.00500297796307326,0.00643240023823705,0.00238237045860631,0.00273972602739726
"2020-01",0.183588002263724,0.153933220147142,0.137068477645727,0.131635540464063,0.108432371250707,0.0444821731748727,0.0584040747028862,0.0276174306734578,0.0238822863610639,0.0272778720996038,0.0184493491794001,0.0109790605546123,0.0150537634408602,0.0166383701188455,0.0055461233729485,0.00577249575551783,0.00328239954725523,0.00611205432937182,0.00203735144312394,0.0033955857385399
"2021-01",0.181118986578193,0.147489066505806,0.143115668828231,0.121248680440356,0.101342180666566,0.0692203287588599,0.0459960790227718,0.0307645905594933,0.0298597496606847,0.0262403860654502,0.0199064997737898,0.0174935907103001,0.0119137385009802,0.00950082943749057,0.00904840898808626,0.00829437490574574,0.00512743175991555,0.0034685567787664,0.0033177499622983,0.00271452269642588
