language,freq2018,freq2019,freq2020,freq2021,freq2022
TypeScript,0.05211533916331836,0.08177937542125364,0.1151625645700395,0.1560086108648854,0.18441300570861255
Python,0.13082013708343182,0.15917771287351157,0.1349134001823154,0.10624287704191465,0.14532141970712337
C#,0.1396832900023635,0.14086722084924735,0.13947128532360983,0.145245029758136,0.1363862000496401
JavaScript,0.15043724887733395,0.14131655807683666,0.128684290489213,0.12409775864252248,0.12745098039215685
Java,0.16296383833609077,0.13985621208717142,0.13233059860224855,0.1168798277827023,0.12074956564904443
Go,0.050106357835027183,0.04212536508649742,0.04800972348830143,0.07091300493858427,0.05919583023082651
Kotlin,0.045261167572677855,0.04482138845203325,0.03965360072926162,0.04925921235912372,0.043807396376272026
PHP,0.07870479792011345,0.07290496517636486,0.07550896384077788,0.07091300493858427,0.042938694465127825
Swift,0.03639801465374616,0.032127611772635366,0.03357642054086904,0.03583639356717741,0.02928766443286175
C++,0.0554242495863862,0.04864075488654235,0.040413248252810695,0.028111941243510193,0.025688756515264335
Rust,0.009454029780193808,0.010222421927656706,0.013369796414463689,0.01646194757502849,0.02072474559444031
Dart,0.002954384306310565,0.007077061334531566,0.012002430872075358,0.01696846903887552,0.014147431124348473
Ruby,0.023516899078232095,0.020669512469108066,0.02506836827711942,0.017474990502722554,0.014023330851327873
Scala,0.02186244386669818,0.014940462817344418,0.02218170768763294,0.014815752817525642,0.011044924298833457
DB,0.0024816828173008744,0.002022017524151876,0.003038590094196293,0.004685323540585032,0.006080913378009431
Apex,0.0016544552115339162,0.0022466861379465287,0.001671224551807961,0.00481195390654679,0.004839910647803425
C,0.006735996218388088,0.007077061334531566,0.005773321178972957,0.006331518298087881,0.004591710101762224
Elixir,0.0024816828173008744,0.0015726802965625702,0.003494378608325737,0.003925541344814486,0.0035989079175974188
Clojure,0.0022453320727960292,0.0022466861379465287,0.0027347310847766638,0.0031657591490439406,0.0016133035492678085
R,0.001772630583786339,0.0006740058413839587,0.002582801580066849,0.0007597821957705458,0.001365103003226607
