language,freq2021,freq2022,freq2023,freq2024,freq2025
TypeScript,0.10222273674461681,0.1328450704225352,0.15090886909845067,0.1708886208283072,0.20635631154879142
Python,0.11067376707571197,0.13408450704225353,0.14700500182993778,0.17035249966492427,0.15905699791107134
JavaScript,0.18534382959018292,0.19098591549295774,0.15359277784555325,0.13403029084573115,0.11518949567293345
C#,0.14494095855522113,0.1328450704225352,0.12687568622666828,0.11901889827100925,0.11026559236048941
Java,0.14065755962028248,0.13983098591549295,0.12724167378309137,0.11834874681678059,0.10041778573560131
DB,0.014007872192637185,0.026704225352112677,0.03159692570452605,0.03927087521779922,0.05968367651447329
PHP,0.10407501736513082,0.07064788732394366,0.06990362327680859,0.06768529687709422,0.059236048940614745
C++,0.03241491085899514,0.02828169014084507,0.031474929852385015,0.029084573113523655,0.03282602208296031
Kotlin,0.033341051169252144,0.032225352112676055,0.03464682200805173,0.031497118348746814,0.027603700387943898
Swift,0.032993748552905766,0.024901408450704224,0.022935220202513113,0.02117678595362552,0.022829006266786033
Bash / Shell,0.0,0.0,0.002439917042820544,0.002010454362685967,0.018203521336914354
Go,0.021648529752257468,0.018591549295774647,0.021105282420397706,0.021712907117008445,0.016860638615338704
Dart,0.009956008335262792,0.010816901408450704,0.011223618396974503,0.01166063530357861,0.01387645478961504
Ruby,0.020953924519564713,0.01780281690140845,0.019519336342564354,0.014341241120493231,0.012682781259325574
C,0.009377170641352165,0.006535211267605634,0.006953763572038551,0.010052271813429835,0.008654133094598627
