Specialization,freq2025,freq2024,freq2023,freq2022
Backend,0.3686349509921109,0.40525783619817995,0.3128025169409487,0.3142730985760018
Frontend,0.23141286158259622,0.22669362992922143,0.16940948693126814,0.1797107848548405
Full Stack,0.2240019125029883,0.2135490394337715,0.14569215876089062,0.1797107848548405
QA,0.0,0.0,0.12270087124878994,0.11910806932332486
Mobile,0.10231890987329667,0.09565217391304348,0.07647628267182963,0.07340766088972293
Data Analysis,0.0,0.0,0.060503388189738626,0.06159620267137653
DevOps,0.0,0.0,0.050943852855759926,0.03399933767524009
Other,0.029404733444896008,0.011122345803842264,0.06147144240077444,0.03234352577547191
Embedded,0.02079846999760937,0.021435793731041455,0.0,0.005850535379180925
Desktop,0.02342816160650251,0.0262891809908999,0.0,0.0
