language,freq2023,freq2024,freq2025
Python,0.12983947119924458,0.13593813593813595,0.15252201761409126
Go,0.10788479697828139,0.13553113553113552,0.1465172137710168
Java,0.14707271010387157,0.17053317053317052,0.1345076060848679
TypeScript,0.09962228517469311,0.09727309727309727,0.11609287429943956
C#,0.12252124645892351,0.13064713064713065,0.10168134507606084
JavaScript,0.07034938621340887,0.06186406186406186,0.07165732586068856
PHP,0.0708215297450425,0.0814000814000814,0.06725380304243395
DB,0.06610009442870633,0.032153032153032154,0.05804643714971978
Rust,0.04036827195467422,0.035002035002035005,0.03843074459567654
Kotlin,0.04131255901794145,0.039886039886039885,0.0344275420336269
C++,0.023135033050047216,0.01790801790801791,0.01721377101681345
Ruby,0.020302171860245515,0.014245014245014245,0.016012810248198558
Scala,0.017233238904627007,0.011803011803011803,0.01120896717373899
Swift,0.006137865911237016,0.005698005698005698,0.005604483586869495
C,0.00424929178470255,0.00407000407000407,0.003602882305844676
