language,freq2023,freq2024,freq2025
TypeScript,0.49473684210526314,0.5327405012126112,0.4831130690161527
JavaScript,0.2546365914786967,0.22473726758286175,0.2195301027900147
Python,0.058145363408521306,0.06790622473726758,0.09030837004405286
Go,0.03759398496240601,0.038803556992724336,0.05433186490455213
C#,0.029072681704260653,0.024252223120452707,0.02569750367107195
DB,0.012531328320802004,0.0137429264349232,0.023494860499265784
Java,0.017543859649122806,0.018593371059013743,0.019823788546255508
Rust,0.02055137844611529,0.016976556184316895,0.016152716593245228
C++,0.008521303258145364,0.007275666936135812,0.015418502202643172
PHP,0.010526315789473684,0.009700889248181084,0.013215859030837005
