nYears,All,JavaScript,TypeScript,Python,Java,C#,PHP,Go
0.1,0.5897965202005309,0.1295336787564767,0.5061460592913956,1.3133208255159476,0.2971768202080238,0.5412719891745602,0,0
0.25,0.6487761722205839,1.0362694300518136,0.3615328994938539,0.9380863039399625,1.188707280832095,0.5412719891745602,0.2518891687657431,0
0.5,1.695664995576526,1.9430051813471503,1.373825018076645,2.8142589118198873,1.7830609212481425,1.8944519621109608,0.5037783375314862,0
1.0,2.1969920377469774,2.072538860103627,2.386117136659436,2.720450281425891,1.040118870728083,2.435723951285521,0,2.6548672566371683
1.5,2.668829253907402,2.7202072538860103,2.3138105567606653,4.127579737335835,2.526002971768202,2.841677943166441,1.0075566750629723,1.7699115044247788
2.0,5.234444116779711,7.642487046632124,4.55531453362256,7.6923076923076925,2.823179791976226,3.924221921515562,3.5264483627204033,5.3097345132743365
3.0,8.552049542907698,11.658031088082902,9.255242227042661,9.47467166979362,8.915304606240714,6.089309878213803,6.297229219143577,5.3097345132743365
4.0,10.675317015629608,12.694300518134716,12.79826464208243,10.412757973733584,11.589895988112927,8.525033829499323,6.54911838790932,7.964601769911504
5.0,9.849601887348864,12.694300518134716,11.641359363702097,10.787992495309568,8.7667161961367,8.795669824086604,6.297229219143577,11.504424778761061
6.0,8.330875847832498,7.772020725388601,10.195227765726681,8.348968105065666,8.469539375928678,8.930987821380242,8.564231738035264,3.5398230088495577
7.0,7.342966676496608,6.476683937823833,9.255242227042661,6.191369606003752,7.726597325408618,6.630581867388363,8.816120906801007,7.079646017699115
8.0,6.856384547331171,6.7357512953367875,6.579898770788143,6.0037523452157595,7.87518573551263,7.577807848443843,6.045340050377834,12.389380530973451
9.0,4.615157770569154,4.66321243523316,5.061460592913955,2.908067542213884,5.943536404160475,4.194857916102842,7.304785894206549,6.1946902654867255
10.0,6.812149808316131,7.253886010362693,5.929139551699205,5.534709193245779,8.023774145616642,6.089309878213803,9.82367758186398,9.734513274336283
11.0,3.06694190504276,2.072538860103627,2.8922631959508314,2.908067542213884,2.080237741456166,3.924221921515562,4.534005037783375,3.5398230088495577
12.0,3.5092892951931582,2.33160621761658,3.2537960954446854,2.908067542213884,3.268945022288262,3.924221921515562,6.045340050377834,2.6548672566371683
13.0,2.683574166912415,1.5544041450777202,2.74765003615329,1.4071294559099436,2.674591381872214,4.600811907983761,3.27455919395466,3.5398230088495577
14.0,2.5213801238572695,1.9430051813471503,1.9522776572668112,2.345215759849906,2.37741456166419,1.8944519621109608,4.282115869017632,0.8849557522123894
18.0,8.286641108817458,5.310880829015544,5.278380332610268,7.317073170731707,9.212481426448738,11.907983761840326,13.602015113350127,11.504424778761061
20.0,3.863167207313477,1.2953367875647668,1.6630513376717282,3.8461538461538463,3.4175334323922733,4.7361299052774015,3.27455919395466,4.424778761061947
