language,freq2023,freq2024,freq2025
TypeScript,0.25526932084309134,0.2546897546897547,0.286144578313253
JavaScript,0.14566744730679157,0.14935064935064934,0.13373493975903614
C#,0.1484777517564403,0.15728715728715728,0.12891566265060242
Python,0.07447306791569086,0.09379509379509379,0.10722891566265061
Go,0.06088992974238876,0.0707070707070707,0.07409638554216867
DB,0.07822014051522248,0.046176046176046176,0.06927710843373494
PHP,0.05667447306791569,0.06493506493506493,0.04879518072289157
Java,0.04964871194379391,0.05339105339105339,0.04156626506024096
Rust,0.022482435597189696,0.020923520923520924,0.03132530120481928
Ruby,0.01873536299765808,0.020202020202020204,0.01927710843373494
C++,0.01873536299765808,0.007936507936507936,0.013855421686746987
Kotlin,0.01639344262295082,0.016594516594516596,0.010843373493975903
Swift,0.008430913348946136,0.006493506493506494,0.006626506024096385
Dart,0.011241217798594848,0.006493506493506494,0.005421686746987952
Elixir,0.003278688524590164,0.008658008658008658,0.004819277108433735
