language,freq2022,freq2023,freq2024,freq2025
Pascal,0.20978544670223634,0.1970217640320733,0.1914662318249762,0.1972049689440994
JavaScript,0.14383017368600295,0.1466208476517755,0.14349775784753363,0.1408385093167702
C++,0.12180724259280282,0.10971108565610284,0.10762331838565023,0.1172360248447205
Python,0.07673969803609944,0.09634720631284205,0.10952575078135617,0.10559006211180125
Java,0.1062549665115223,0.09520173094056256,0.1031390134529148,0.08757763975155279
Basic,0.0783289817232376,0.07369224894998092,0.0769126239978258,0.08059006211180124
C,0.06958792144397775,0.06465572101310933,0.05734474792770757,0.06754658385093168
C#,0.06027925984788285,0.06796487208858343,0.06237260497350183,0.04875776397515528
PHP,0.04801907140424566,0.049255441008018326,0.04497893735561897,0.03711180124223602
Delphi,0.031104552162561017,0.032836960672012215,0.03152602255741269,0.03291925465838509
