nYears,All,Java,C#,Apex,1C
0.25,1.9603097773475315,1.1505273250239694,1.3461538461538463,0,0
0.5,3.3639883833494677,2.109300095877277,2.5,0,0
1.0,4.791868344627299,3.2598274209012463,3.653846153846154,11.11111111111111,2.380952380952381
1.5,5.082284607938044,3.8350910834132312,3.942307692307692,4.444444444444445,2.380952380952381
2.0,12.015972894482092,13.135186960690318,9.807692307692308,17.77777777777778,2.380952380952381
3.0,14.629719264278801,14.189837008628956,12.403846153846153,20.0,2.380952380952381
4.0,10.600193610842206,11.888782358581016,11.73076923076923,15.555555555555555,2.380952380952381
5.0,10.721200387221684,11.888782358581016,11.346153846153847,13.333333333333334,9.523809523809524
6.0,8.470474346563407,8.62895493767977,8.653846153846153,8.88888888888889,9.523809523809524
7.0,6.836882865440465,7.094918504314478,7.98076923076923,0,11.904761904761903
8.0,4.888673765730881,4.218600191754554,6.25,6.666666666666667,4.761904761904762
9.0,2.6258470474346565,2.876318312559923,2.403846153846154,0,2.380952380952381
10.0,4.259438528557599,5.081495685522531,4.903846153846154,2.2222222222222223,16.666666666666664
11.0,2.0087124878993223,2.972195589645254,2.6923076923076925,0,2.380952380952381
12.0,2.045014520813165,2.7804410354745923,1.826923076923077,0,7.142857142857142
13.0,1.052758954501452,0.5752636625119847,1.7307692307692308,0,2.380952380952381
14.0,0.5808325266214909,0.19175455417066153,0.4807692307692308,0,4.761904761904762
15.0,4.065827686350436,4.1227229146692235,6.346153846153846,0,16.666666666666664
